,IDcliente,CHURN,GENERO_CLIENTE,ADULTO_MAYOR,CON_PAREJA,CLIENTE_CON_DEPENDIENTE,ANTIGUEDAD_CLIENTE,SERVICIO_TELEFONO,MULTIPLES_LINEAS,S_INTERNET,SEGURIDAD_ONLINE,RESPALDO_ONLINE,PROTECCION_DISPOSITIVOS,SOPORTE_TECNICO,TV_STREAMING,PELICULAS_STREAMING,CONTRATO,BOLETA_ELECTRONICA,METODO_PAGO,CARGO_MENSUAL,CARGO_TOTAL,Cuentas_Diarias
5314,7252-NTGSS,No,Mujer,0,No,No,1,Si,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,45.15,45.15,1.5
5315,7253-UVNDW,Si,Mujer,0,No,No,46,Si,No,DSL,No,No,Si,Si,No,No,Two year,No,Credit card (automatic),54.35,2460.15,1.81
5316,7254-IQWOZ,Si,Hombre,0,No,No,1,Si,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Si,Electronic check,69.65,69.65,2.32
5317,7255-SSFBC,No,Hombre,0,Si,Si,72,Si,Si,Fiber optic,No,Si,Si,Si,Si,Si,Two year,Si,Bank transfer (automatic),112.25,8041.65,3.74
5318,7266-GSSJX,No,Hombre,0,Si,Si,11,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Si,Electronic check,20.45,250.8,0.68
5319,7267-FRMJW,No,Mujer,0,Si,Si,25,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.1,486.05,0.67
5320,7268-IGMFD,No,Hombre,1,No,No,18,Si,Si,Fiber optic,No,No,Si,Si,Si,No,Month-to-month,No,Bank transfer (automatic),93.9,1743.9,3.13
5321,7268-WNTCP,No,Hombre,0,Si,Si,62,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.45,1297.35,0.68
5322,7269-JISCY,No,Mujer,0,No,No,55,Si,No,DSL,No,No,No,No,No,No,One year,No,Bank transfer (automatic),45.05,2462.6,1.5
5323,7270-BDIOA,Si,Mujer,0,No,No,22,Si,Si,Fiber optic,No,No,No,Si,Si,No,Month-to-month,Si,Electronic check,90.0,1993.8,3.0
5324,7271-AJDTL,No,Mujer,0,Si,No,55,Si,Si,Fiber optic,No,Si,Si,No,Si,No,Month-to-month,Si,Credit card (automatic),94.45,5073.1,3.15
5325,7272-QDCKA,No,Hombre,0,No,No,28,Si,Si,Fiber optic,No,Si,No,No,Si,Si,One year,No,Electronic check,100.2,2688.45,3.34
5326,7273-TEFQD,Si,Hombre,1,No,No,3,No,No phone service,DSL,No,No,Si,No,No,Si,Month-to-month,Si,Electronic check,41.15,132.2,1.37
5327,7274-CGTOD,No,Hombre,0,No,No,62,No,No phone service,DSL,Si,Si,Si,Si,No,No,Two year,Si,Bank transfer (automatic),43.7,2618.3,1.46
5328,7274-RTAPZ,Si,Hombre,0,No,No,1,Si,No,Fiber optic,No,No,No,No,Si,Si,Month-to-month,Si,Electronic check,90.55,90.55,3.02
5329,7277-KAMWT,No,Hombre,0,No,No,13,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.0,268.45,0.67
5330,7277-OZCGZ,No,Mujer,0,No,No,22,Si,No,Fiber optic,Si,No,No,Si,No,Si,Month-to-month,Si,Electronic check,89.05,1886.25,2.97
5331,7278-CKDNC,No,Hombre,1,No,No,24,Si,Si,Fiber optic,No,Si,No,No,No,No,Month-to-month,Si,Electronic check,80.5,2088.45,2.68
5333,7279-BUYWN,Si,Mujer,1,No,No,41,Si,Si,Fiber optic,Si,Si,Si,No,Si,Si,Month-to-month,Si,Electronic check,113.2,4689.5,3.77
5334,7279-NMVJC,No,Mujer,0,No,No,17,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.9,323.15,0.66
5335,7284-BUYEC,No,Mujer,0,No,No,5,No,No phone service,DSL,No,Si,No,No,Si,Si,Month-to-month,Si,Credit card (automatic),50.95,229.4,1.7
5336,7284-ZZLOH,No,Hombre,0,Si,No,45,Si,No,DSL,Si,No,Si,No,No,No,Two year,No,Credit card (automatic),53.3,2296.25,1.78
5337,7285-KLOTR,No,Mujer,0,Si,No,12,Si,Si,DSL,Si,No,Si,No,Si,Si,One year,No,Electronic check,78.85,876.75,2.63
5338,7291-CDTMJ,No,Hombre,0,No,No,1,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Si,Bank transfer (automatic),19.65,19.65,0.65
5339,7293-LSCDV,No,Mujer,0,Si,Si,60,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Si,Credit card (automatic),19.25,1103.25,0.64
5340,7294-TMAOP,Si,Mujer,0,No,No,1,Si,No,Fiber optic,No,No,No,No,Si,Si,Month-to-month,No,Electronic check,90.55,90.55,3.02
5342,7295-JOMMD,Si,Mujer,0,No,Si,4,Si,No,Fiber optic,No,No,Si,Si,Si,Si,Month-to-month,Si,Bank transfer (automatic),98.1,396.3,3.27
5343,7296-PIXQY,No,Mujer,0,Si,Si,14,Si,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.2,1046.5,2.34
5344,7297-DVYGA,No,Mujer,0,No,No,51,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Si,Bank transfer (automatic),19.85,996.95,0.66
5345,7298-IZWLY,No,Mujer,0,No,No,1,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Si,Mailed check,19.4,19.4,0.65
5346,7299-GNVPL,No,Mujer,0,Si,Si,23,Si,No,Fiber optic,Si,Si,No,Si,No,No,Month-to-month,No,Mailed check,84.4,1936.85,2.81
5347,7301-ABVAD,No,Mujer,0,No,No,72,Si,Si,DSL,No,Si,Si,Si,Si,Si,Two year,No,Bank transfer (automatic),86.6,6350.5,2.89
5348,7302-ZHMHP,No,Mujer,0,No,No,1,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.15,19.15,0.64
5350,7305-ZWMAJ,No,Hombre,0,Si,No,30,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),20.7,587.1,0.69
5351,7306-YDSOI,No,Hombre,0,Si,Si,69,Si,No,DSL,Si,Si,Si,No,No,No,Two year,Si,Bank transfer (automatic),59.75,4069.9,1.99
5352,7310-EGVHZ,No,Hombre,0,No,No,1,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,0.67
5353,7311-MQJCH,No,Mujer,0,No,No,5,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,19.55,99.6,0.65
5354,7312-XSBAT,No,Hombre,0,No,No,1,Si,No,DSL,Si,No,No,No,No,No,Month-to-month,No,Electronic check,49.75,49.75,1.66
5355,7314-OXENN,Si,Hombre,0,No,No,2,Si,Si,Fiber optic,No,Si,No,No,No,No,Month-to-month,Si,Electronic check,82.0,184.65,2.73
5356,7315-WYOAW,No,Hombre,0,No,No,13,Si,Si,Fiber optic,No,No,No,Si,Si,Si,Month-to-month,No,Electronic check,100.75,1313.25,3.36
5357,7317-GGVPB,Si,Hombre,0,Si,No,71,Si,Si,Fiber optic,No,Si,Si,Si,Si,Si,Two year,Si,Credit card (automatic),108.6,7690.9,3.62
5358,7318-EIVKO,No,Hombre,0,No,No,8,Si,Si,DSL,No,No,No,No,Si,No,Month-to-month,Si,Electronic check,59.25,436.6,1.98
5359,7319-VENRZ,No,Hombre,0,No,No,7,Si,No,DSL,No,No,Si,Si,Si,No,Month-to-month,No,Bank transfer (automatic),64.3,445.95,2.14
5360,7319-ZNRTR,No,Hombre,0,Si,Si,25,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,19.6,411.15,0.65
5361,7321-KKSDU,No,Hombre,0,No,Si,32,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.5,696.8,0.68
5362,7321-PKUYW,Si,Mujer,0,No,No,11,Si,Si,Fiber optic,No,No,No,Si,Si,No,Month-to-month,No,Electronic check,90.15,987.95,3.01
5363,7321-VGNKU,No,Mujer,0,Si,No,2,Si,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Si,Electronic check,70.35,120.25,2.34
5364,7321-ZNSLA,No,Hombre,0,Si,Si,13,No,No phone service,DSL,Si,Si,No,Si,No,No,Two year,No,Mailed check,40.55,590.35,1.35
5365,7322-OCWHC,No,Hombre,1,Si,No,72,Si,Si,Fiber optic,Si,Si,Si,Si,No,No,Two year,Si,Bank transfer (automatic),93.05,6735.05,3.1
5366,7325-ENZFI,No,Mujer,0,No,No,39,No,No phone service,DSL,Si,Si,No,Si,No,No,One year,Si,Bank transfer (automatic),40.3,1630.4,1.34
5367,7326-RIGQZ,No,Hombre,0,Si,Si,6,Si,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Si,Electronic check,69.8,377.85,2.33
5368,7328-OWMOM,No,Mujer,0,No,Si,31,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),20.1,589.25,0.67
5369,7328-ZJAJO,No,Mujer,0,Si,Si,59,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.5,1222.65,0.65
5370,7330-WZLNC,Si,Mujer,0,No,No,5,Si,Si,Fiber optic,No,Si,No,No,Si,No,Month-to-month,Si,Electronic check,90.8,455.5,3.03
5371,7336-RLLRH,No,Hombre,0,Si,No,27,Si,Si,DSL,Si,No,No,Si,Si,Si,One year,No,Mailed check,80.85,2204.35,2.7
5372,7337-CINUD,No,Mujer,0,Si,Si,8,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.5,159.35,0.65
5373,7338-ERIVA,No,Hombre,0,No,Si,39,No,No phone service,DSL,Si,No,No,Si,Si,No,One year,No,Bank transfer (automatic),45.05,1790.6,1.5
5374,7339-POGZN,No,Mujer,0,No,No,4,Si,Si,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,50.7,214.55,1.69
5376,7340-KEFQE,No,Mujer,0,Si,Si,51,No,No phone service,DSL,Si,No,No,Si,No,No,Two year,No,Bank transfer (automatic),34.2,1782.0,1.14
5377,7341-LXCAF,Si,Hombre,0,Si,No,4,Si,Si,Fiber optic,No,No,No,No,No,No,Month-to-month,Si,Electronic check,74.65,301.4,2.49
5378,7343-EOBEU,No,Hombre,0,Si,No,3,Si,Si,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Si,Mailed check,23.6,89.05,0.79
5379,7346-MEDWM,No,Mujer,0,No,No,59,Si,Si,Fiber optic,No,Si,Si,No,No,No,Month-to-month,Si,Electronic check,83.25,4949.1,2.78
5380,7349-ALMUX,No,Hombre,0,No,No,37,Si,No,DSL,Si,Si,Si,Si,No,No,Two year,No,Bank transfer (automatic),65.6,2313.8,2.19
5381,7351-KYHQH,No,Mujer,1,No,No,7,Si,No,DSL,No,Si,Si,No,Si,No,Month-to-month,Si,Electronic check,64.95,493.65,2.16
5382,7351-MHQVU,No,Mujer,0,No,No,6,No,No phone service,DSL,Si,Si,No,Si,No,Si,Month-to-month,No,Credit card (automatic),50.95,307.6,1.7
5383,7353-YOWFP,No,Mujer,0,No,No,7,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.25,129.15,0.68
5384,7354-OIJLX,No,Hombre,0,No,No,9,Si,Si,Fiber optic,No,No,No,No,No,No,Month-to-month,Si,Electronic check,75.85,724.65,2.53
5385,7356-AYNJP,No,Mujer,0,No,No,4,Si,Si,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,23.9,97.5,0.8
5386,7356-IWLFW,No,Hombre,0,Si,Si,46,Si,Si,Fiber optic,No,Si,No,No,No,No,Month-to-month,Si,Bank transfer (automatic),80.0,3769.7,2.67
5387,7359-PTSXY,Si,Hombre,0,No,No,1,Si,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,45.75,45.75,1.52
5388,7359-SSBJK,Si,Mujer,1,No,No,64,Si,No,DSL,Si,Si,No,Si,Si,No,Two year,Si,Credit card (automatic),70.2,4481.0,2.34
5389,7359-WWYJV,No,Hombre,0,Si,No,72,Si,Si,Fiber optic,Si,Si,Si,Si,Si,Si,Two year,No,Credit card (automatic),114.45,8375.05,3.82
5390,7361-YPXFS,No,Mujer,1,No,No,28,Si,Si,DSL,No,Si,Si,Si,No,No,Month-to-month,No,Bank transfer (automatic),64.45,1867.6,2.15
5391,7363-QTBIW,No,Mujer,0,Si,No,9,Si,No,Fiber optic,No,No,No,No,No,Si,Month-to-month,Si,Electronic check,79.75,769.1,2.66
5392,7365-BVCJH,No,Hombre,0,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Si,Electronic check,24.4,24.4,0.81
5393,7369-TRPFD,No,Hombre,0,No,No,19,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,18.8,279.2,0.63
5395,7375-WMVMT,No,Hombre,1,Si,No,71,Si,No,Fiber optic,No,Si,Si,Si,No,Si,Two year,Si,Credit card (automatic),95.5,6707.15,3.18
5396,7377-DMMRI,Si,Hombre,0,No,No,2,Si,No,DSL,Si,No,No,No,No,No,Month-to-month,Si,Electronic check,47.8,92.45,1.59
5397,7379-FNIUJ,No,Hombre,0,No,No,2,Si,No,Fiber optic,Si,Si,No,No,Si,Si,Month-to-month,No,Electronic check,100.2,198.5,3.34
5398,7379-POKDZ,Si,Hombre,0,Si,No,3,Si,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Si,Electronic check,70.3,208.85,2.34
5399,7382-DFJTU,No,Hombre,0,No,No,18,Si,No,DSL,No,No,Si,Si,No,No,Month-to-month,No,Credit card (automatic),55.2,1058.1,1.84
5400,7384-GHBPI,Si,Hombre,0,Si,No,3,No,No phone service,DSL,No,No,No,No,No,Si,Month-to-month,Si,Electronic check,35.15,99.75,1.17
5401,7389-KBFIT,No,Mujer,0,Si,Si,2,No,No phone service,DSL,No,Si,No,No,No,No,Month-to-month,Si,Mailed check,30.25,63.75,1.01
5402,7392-YYPYJ,No,Hombre,0,No,No,22,Si,Si,Fiber optic,No,Si,No,No,Si,Si,Month-to-month,Si,Electronic check,100.65,2415.95,3.36
5403,7394-FKDNK,Si,Mujer,0,Si,No,9,Si,No,Fiber optic,No,No,No,No,Si,Si,Month-to-month,No,Electronic check,89.45,853.1,2.98
5404,7394-LWLYN,No,Mujer,0,No,No,2,Si,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Si,Electronic check,70.15,123.8,2.34
5405,7395-IGJOS,Si,Hombre,1,Si,No,17,Si,No,Fiber optic,No,No,No,No,No,Si,Month-to-month,No,Bank transfer (automatic),81.5,1329.2,2.72
5406,7395-XWZOY,No,Hombre,0,No,No,20,No,No phone service,DSL,Si,Si,Si,Si,Si,No,Month-to-month,Si,Credit card (automatic),55.0,1165.55,1.83
5407,7396-VJUZB,No,Hombre,0,Si,Si,4,Si,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,45.25,155.35,1.51
5408,7398-HPYZQ,No,Hombre,0,Si,No,71,Si,Si,DSL,Si,Si,Si,Si,Si,Si,Two year,No,Bank transfer (automatic),90.55,6404.0,3.02
5409,7398-LXGYX,No,Hombre,0,Si,No,44,Si,Si,Fiber optic,Si,No,Si,No,No,No,Month-to-month,Si,Credit card (automatic),84.8,3626.35,2.83
5410,7398-SKNQZ,No,Mujer,0,Si,No,3,Si,Si,Fiber optic,No,No,No,No,Si,Si,Month-to-month,No,Electronic check,94.9,273.2,3.16
5411,7399-QHBJS,No,Mujer,0,Si,Si,72,Si,Si,DSL,Si,Si,No,Si,No,No,Two year,No,Credit card (automatic),66.75,4760.3,2.22
5412,7401-JIXNM,No,Mujer,0,Si,Si,54,Si,Si,DSL,Si,Si,Si,Si,Si,Si,Two year,No,Credit card (automatic),91.3,4965.0,3.04
5413,7401-RUBNK,No,Mujer,0,Si,No,18,Si,No,Fiber optic,Si,No,No,No,No,No,Month-to-month,No,Electronic check,74.8,1438.05,2.49
5414,7402-EYFXX,No,Hombre,1,No,No,26,Si,Si,Fiber optic,No,No,No,No,Si,Si,Month-to-month,Si,Electronic check,93.6,2404.1,3.12
5415,7402-PWYJJ,No,Mujer,0,Si,No,53,Si,Si,Fiber optic,No,No,No,Si,No,Si,One year,Si,Electronic check,91.15,4862.5,3.04
5416,7404-JLKQG,No,Mujer,0,No,No,3,Si,No,DSL,No,No,Si,No,Si,No,Month-to-month,No,Electronic check,57.55,161.45,1.92
5417,7407-SUJIZ,No,Hombre,0,No,No,25,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.6,541.5,0.69
5418,7408-OFWXJ,No,Mujer,0,Si,Si,72,Si,Si,DSL,Si,Si,Si,Si,Si,Si,Two year,No,Credit card (automatic),89.8,6510.45,2.99
5419,7409-JURKQ,No,Mujer,0,Si,No,53,Si,Si,Fiber optic,No,Si,Si,Si,Si,Si,One year,Si,Bank transfer (automatic),111.8,5809.75,3.73
5420,7409-KIUTL,Si,Mujer,1,No,Si,1,Si,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Si,Electronic check,71.0,71.0,2.37
5421,7410-KTVFV,Si,Hombre,0,Si,No,18,Si,No,DSL,No,No,Si,No,No,No,Month-to-month,Si,Mailed check,49.55,878.35,1.65
5422,7410-OIEDU,No,Hombre,0,No,No,10,Si,No,Fiber optic,Si,No,Si,No,No,No,Month-to-month,Si,Mailed check,79.85,887.35,2.66
5423,7410-YTJIK,Si,Mujer,0,No,No,7,Si,Si,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,75.45,480.75,2.52
5424,7416-CKTEP,No,Mujer,0,Si,No,57,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Si,Bank transfer (automatic),19.6,1134.25,0.65
5425,7421-ZLUPA,No,Mujer,0,No,No,8,No,No phone service,DSL,No,Si,No,No,No,No,Month-to-month,Si,Mailed check,29.25,226.95,0.98
5426,7422-WNBTY,No,Hombre,0,Si,No,33,Si,Si,Fiber optic,No,Si,Si,No,No,Si,Month-to-month,Si,Electronic check,93.35,3092.0,3.11
5427,7426-GSWPO,No,Hombre,1,No,No,64,Si,Si,Fiber optic,Si,Si,No,No,Si,Si,Month-to-month,Si,Bank transfer (automatic),103.5,6548.65,3.45
5428,7426-RHZGU,No,Hombre,0,No,No,9,Si,No,Fiber optic,No,No,No,Si,Si,Si,Month-to-month,Si,Bank transfer (automatic),95.9,827.45,3.2
5429,7426-WEIJX,No,Hombre,1,Si,Si,60,Si,Si,Fiber optic,Si,No,No,No,No,No,Month-to-month,Si,Electronic check,80.95,4859.1,2.7
5430,7427-AUFPY,No,Hombre,0,No,No,54,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.65,1008.7,0.65
5431,7432-FFVAR,No,Mujer,0,Si,Si,46,Si,No,Fiber optic,No,No,Si,Si,No,Si,One year,No,Bank transfer (automatic),90.95,4236.6,3.03
5433,7434-SHXLS,Si,Mujer,0,No,No,1,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.9,20.9,0.7
5434,7435-ZNUYY,No,Hombre,0,No,No,6,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.6,116.6,0.69
5435,7439-DKZTW,No,Hombre,0,No,No,1,Si,No,Fiber optic,No,No,No,No,Si,No,Month-to-month,Si,Electronic check,80.55,80.55,2.68
5436,7442-YGZFK,No,Hombre,0,No,No,1,Si,Si,DSL,No,No,No,No,No,No,Month-to-month,Si,Credit card (automatic),49.8,49.8,1.66
5437,7445-WMRBW,No,Mujer,0,No,No,48,Si,Si,DSL,No,Si,Si,Si,Si,No,One year,Si,Bank transfer (automatic),73.85,3581.4,2.46
5438,7446-KQISO,No,Hombre,0,Si,Si,45,Si,Si,Fiber optic,No,Si,Si,Si,Si,Si,Two year,Si,Bank transfer (automatic),109.75,4900.65,3.66
5439,7446-SFAOA,No,Mujer,0,Si,No,37,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Si,Bank transfer (automatic),19.85,717.5,0.66
5440,7446-YPODE,No,Hombre,1,No,No,11,Si,Si,DSL,Si,Si,No,No,No,No,Month-to-month,No,Bank transfer (automatic),60.25,662.95,2.01
5441,7449-HVPIV,No,Hombre,0,Si,Si,55,Si,Si,Fiber optic,No,No,Si,No,Si,No,Month-to-month,Si,Credit card (automatic),90.4,5099.15,3.01
5442,7450-NWRTR,Si,Hombre,1,No,No,12,Si,Si,Fiber optic,No,No,Si,No,Si,Si,Month-to-month,Si,Electronic check,99.45,1200.15,3.32
5443,7452-FOLON,No,Hombre,0,No,Si,39,Si,Si,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),25.45,958.45,0.85
5445,7459-IMVYU,No,Hombre,0,No,No,38,Si,Si,DSL,Si,Si,Si,Si,No,No,Month-to-month,No,Electronic check,69.95,2657.55,2.33
5446,7459-RRWQZ,Si,Mujer,0,No,No,15,Si,Si,DSL,Si,No,No,No,No,Si,Month-to-month,Si,Bank transfer (automatic),64.65,994.55,2.16
5447,7460-ITWWP,No,Mujer,1,Si,No,45,Si,No,Fiber optic,No,No,Si,No,No,Si,Month-to-month,Si,Electronic check,86.1,3861.45,2.87
5448,7463-IFMQU,No,Mujer,0,Si,No,72,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.05,1423.65,0.67
5449,7465-ZZRVX,No,Hombre,0,No,No,1,Si,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Si,Electronic check,70.35,70.35,2.34
5450,7469-LKBCI,No,Hombre,0,No,No,16,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,0.63
5451,7470-DYNOE,No,Hombre,0,No,No,53,Si,No,DSL,No,No,Si,No,No,Si,One year,Si,Electronic check,61.1,3357.9,2.04
5452,7470-MCQTK,Si,Mujer,0,Si,No,13,No,No phone service,DSL,No,No,Si,No,Si,Si,Month-to-month,Si,Bank transfer (automatic),48.75,633.4,1.62
5453,7471-MQPOS,No,Hombre,1,Si,Si,71,Si,Si,DSL,No,Si,Si,Si,No,Si,One year,Si,Bank transfer (automatic),72.9,5139.65,2.43
5454,7471-WNSUF,No,Hombre,0,Si,No,60,Si,Si,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),24.15,1505.9,0.8
5455,7472-EQOAV,No,Hombre,1,Si,Si,71,Si,No,Fiber optic,Si,Si,Si,No,No,No,One year,Si,Bank transfer (automatic),86.7,6179.35,2.89
5456,7473-ZBDSN,No,Mujer,0,Si,Si,14,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,18.8,255.55,0.63
5457,7479-NITWS,Si,Hombre,0,No,No,7,Si,Si,Fiber optic,No,No,Si,No,Si,No,Month-to-month,Si,Credit card (automatic),89.35,631.85,2.98
5458,7480-QNVZJ,Si,Hombre,1,No,No,50,Si,Si,Fiber optic,No,No,No,No,Si,Si,Month-to-month,Si,Electronic check,95.7,4816.7,3.19
5459,7480-SPLEF,No,Hombre,0,Si,Si,69,Si,Si,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Si,Bank transfer (automatic),26.0,1796.55,0.87
5460,7481-ATQQS,Si,Mujer,1,No,No,49,Si,Si,Fiber optic,No,No,Si,No,No,Si,Month-to-month,Si,Credit card (automatic),90.85,4515.85,3.03
5461,7483-IQWIB,No,Hombre,0,Si,Si,37,Si,Si,Fiber optic,No,Si,Si,No,Si,No,Month-to-month,Si,Electronic check,92.95,3415.25,3.1
5462,7486-KSRVI,Si,Hombre,0,No,No,43,Si,Si,Fiber optic,No,No,No,Si,Si,Si,One year,Si,Electronic check,100.0,4211.55,3.33
5463,7488-MXJIV,Si,Mujer,0,No,No,4,Si,Si,Fiber optic,No,No,No,No,Si,No,Month-to-month,Si,Electronic check,85.65,321.65,2.86
5465,7492-TAFJD,No,Hombre,0,Si,Si,7,No,No phone service,DSL,Si,Si,Si,No,No,No,Two year,No,Mailed check,38.55,280.0,1.28
5466,7493-GVFIO,No,Hombre,0,No,No,57,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.55,1252.85,0.68
5467,7493-TPUWZ,Si,Hombre,0,No,No,1,Si,Si,Fiber optic,No,Si,No,No,No,No,Month-to-month,Si,Electronic check,79.15,79.15,2.64
5468,7495-OOKFY,Si,Mujer,1,Si,No,8,Si,Si,Fiber optic,No,Si,No,No,No,No,Month-to-month,Si,Credit card (automatic),80.65,633.3,2.69
5469,7501-IWUNG,No,Mujer,0,Si,Si,61,Si,No,DSL,No,No,Si,Si,Si,Si,Two year,Si,Bank transfer (automatic),73.8,4616.05,2.46
5470,7501-VTYLJ,No,Mujer,0,No,Si,2,Si,No,DSL,No,Si,No,No,No,No,Month-to-month,No,Mailed check,51.55,106.2,1.72
5471,7502-BNYGS,No,Mujer,0,Si,No,46,Si,No,DSL,No,Si,No,No,Si,Si,Month-to-month,Si,Credit card (automatic),69.1,3168.0,2.3
5472,7503-EPSZW,No,Mujer,0,Si,Si,64,Si,Si,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Si,Mailed check,24.05,1559.15,0.8
5473,7503-MIOGA,No,Mujer,1,Si,No,72,Si,Si,DSL,Si,Si,Si,Si,Si,Si,Two year,Si,Bank transfer (automatic),89.85,6697.35,2.99
5474,7503-QQRVF,Si,Hombre,1,Si,No,16,Si,No,Fiber optic,No,Si,No,No,No,No,Month-to-month,Si,Credit card (automatic),74.3,1178.25,2.48
5475,7503-ZGUZJ,Si,Hombre,0,No,No,1,Si,Si,Fiber optic,No,No,No,No,Si,No,Month-to-month,Si,Mailed check,84.65,84.65,2.82
5476,7504-UWHNB,No,Hombre,0,No,No,25,Si,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,69.75,1729.35,2.33
5477,7508-DQAKK,No,Mujer,0,No,No,64,Si,Si,DSL,Si,Si,Si,Si,Si,Si,Two year,Si,Credit card (automatic),86.4,5442.05,2.88
5478,7508-KBIMB,No,Hombre,0,Si,Si,24,Si,No,DSL,Si,No,Si,No,No,No,One year,Si,Credit card (automatic),56.25,1454.25,1.88
5479,7508-MYBOG,Si,Hombre,0,Si,No,14,Si,Si,Fiber optic,No,No,No,No,Si,No,Month-to-month,Si,Electronic check,86.1,1235.55,2.87
5480,7508-SMHXL,No,Mujer,1,No,No,15,Si,Si,Fiber optic,No,Si,No,No,Si,No,Month-to-month,No,Credit card (automatic),89.0,1288.3,2.97
5481,7511-YMXVQ,Si,Hombre,0,No,No,9,No,No phone service,DSL,No,No,No,No,Si,Si,Month-to-month,Si,Electronic check,45.4,418.8,1.51
5482,7515-LODFU,No,Hombre,1,No,No,69,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.3,1356.3,0.68
